tag,step,value,wall_time
Loss/Discriminator,1267,1.099219799041748,1776602349.4903514
Loss/Discriminator,1291,1.2136425971984863,1776602358.560143
Loss/Discriminator,1303,1.1707427501678467,1776602363.0493321
Loss/Discriminator,1327,1.0555590391159058,1776602371.9068775
Loss/Discriminator,1338,1.2868379354476929,1776602375.904055
Loss/Discriminator,1353,1.2110557556152344,1776602381.3998692
Loss/Discriminator,1391,1.3269867897033691,1776602395.5169463
Loss/Discriminator,1400,1.1097991466522217,1776602398.8611856
Loss/Discriminator,1410,1.343997836112976,1776602402.5876765
Loss/Discriminator,1421,1.2696812152862549,1776602406.598908
Loss/Discriminator,1437,1.3266047239303589,1776602412.4227958
Loss/Discriminator,1439,1.203413963317871,1776602413.1627862
Loss/Discriminator,1483,1.3437864780426025,1776602429.427632
Loss/Discriminator,1485,1.458947777748108,1776602430.1660895
Loss/Discriminator,1520,1.17074716091156,1776602443.1019485
Loss/Discriminator,1559,1.2509725093841553,1776602457.3829114
Loss/Discriminator,1577,1.2471401691436768,1776602463.9345431
Loss/Discriminator,1579,1.3269128799438477,1776602464.6907127
Loss/Discriminator,1628,1.1007626056671143,1776602482.8266125
Loss/Discriminator,1634,1.637769341468811,1776602484.9815352
Loss/Discriminator,1638,1.2145280838012695,1776602486.4503143
Loss/Discriminator,1668,1.2462317943572998,1776602497.422226
Loss/Discriminator,1690,1.1847126483917236,1776602505.3864663
Loss/Discriminator,1697,1.1844971179962158,1776602507.8958464
Loss/Discriminator,1704,1.140044927597046,1776602510.4541519
Loss/Discriminator,1739,1.2043870687484741,1776602523.3415966
Loss/Discriminator,1770,1.2015461921691895,1776602534.6303189
Loss/Discriminator,1778,1.447312831878662,1776602537.5977254
Loss/Discriminator,1788,1.2583110332489014,1776602541.3412783
Loss/Discriminator,1835,1.214402198791504,1776602558.6328604
Loss/Discriminator,1844,1.2122550010681152,1776602561.892691
